[2024-12-02 05:35:33 PM-train - unet.py-INFO:epoch: 49, dataset: CVC-ClinicDB, dice: 0.870402419354839]
[2024-12-02 05:35:51 PM-train - unet.py-INFO:epoch: 49, dataset: Kvasir, dice: 0.4632679999999999]
[2024-12-02 05:37:01 PM-train - unet.py-INFO:epoch: 49, dataset: CVC-ColonDB, dice: 0.4848228947368423]
[2024-12-02 05:37:47 PM-train - unet.py-INFO:epoch: 49, dataset: ETIS-LaribPolypDB, dice: 0.26611377551020426]
[2024-12-02 05:39:05 PM-train - unet.py-INFO:epoch: 50, dataset: CVC-300, dice: 0.4138449999999999]
[2024-12-02 05:39:26 PM-train - unet.py-INFO:epoch: 50, dataset: CVC-ClinicDB, dice: 0.8702435483870968]
[2024-12-02 05:39:44 PM-train - unet.py-INFO:epoch: 50, dataset: Kvasir, dice: 0.536931]
[2024-12-02 05:40:55 PM-train - unet.py-INFO:epoch: 50, dataset: CVC-ColonDB, dice: 0.44808736842105323]
[2024-12-02 05:41:42 PM-train - unet.py-INFO:epoch: 50, dataset: ETIS-LaribPolypDB, dice: 0.24704591836734693]
[2024-12-02 05:42:59 PM-train - unet.py-INFO:epoch: 51, dataset: CVC-300, dice: 0.6094316666666667]
[2024-12-02 05:43:20 PM-train - unet.py-INFO:epoch: 51, dataset: CVC-ClinicDB, dice: 0.8195112903225809]
[2024-12-02 05:43:38 PM-train - unet.py-INFO:epoch: 51, dataset: Kvasir, dice: 0.5670670000000003]
[2024-12-02 05:44:46 PM-train - unet.py-INFO:epoch: 51, dataset: CVC-ColonDB, dice: 0.42658157894736837]
[2024-12-02 05:45:31 PM-train - unet.py-INFO:epoch: 51, dataset: ETIS-LaribPolypDB, dice: 0.267057142857143]
[2024-12-02 05:46:47 PM-train - unet.py-INFO:epoch: 52, dataset: CVC-300, dice: 0.6306583333333334]
[2024-12-02 05:47:09 PM-train - unet.py-INFO:epoch: 52, dataset: CVC-ClinicDB, dice: 0.8639798387096775]
[2024-12-02 05:47:27 PM-train - unet.py-INFO:epoch: 52, dataset: Kvasir, dice: 0.5205919999999999]
[2024-12-02 05:48:34 PM-train - unet.py-INFO:epoch: 52, dataset: CVC-ColonDB, dice: 0.4664860526315796]
[2024-12-02 05:49:19 PM-train - unet.py-INFO:epoch: 52, dataset: ETIS-LaribPolypDB, dice: 0.2732744897959184]
[2024-12-02 05:50:35 PM-train - unet.py-INFO:epoch: 53, dataset: CVC-300, dice: 0.33422833333333346]
